Record	Yhat	Residual	Hat	RinvRes	AOMstat
207	6.7094	-0.2115	0.1432E-01	-0.8013E-02	-0.1220E-01
208	6.7094	-1.946	0.1432E-01	-0.7797	-1.187
209	6.7094	-0.9793	0.1432E-01	-0.2240	-0.3411
210	6.7094	-1.850	0.1432E-01	-0.7374	-1.132
211	6.5224	0.7840	0.1432E-01	0.3635	0.5579
212	6.5224	-0.5535	0.1432E-01	-0.6594E-01	-0.1004
213	6.5224	-4.081	0.1432E-01	-1.728	-2.631
214	6.5224	-0.1883	0.1432E-01	0.2729	0.4154
215	6.5224	-2.646	0.1432E-01	-1.191	-1.813
216	6.5224	1.046	0.1432E-01	0.7348	1.119
217	6.5224	-2.702	0.1432E-01	-1.129	-1.720
218	6.5224	-1.816	0.1432E-01	-0.4947	-0.7532
219	6.5224	-2.833	0.1432E-01	-1.104	-1.680
220	6.5224	-0.5162	0.1432E-01	-0.7367E-01	-0.1122
221	6.5224	-0.1174E-01	0.1432E-01	0.2612E-01	0.3977E-01
222	6.5224	-0.7610E-01	0.1432E-01	0.6351E-01	0.9669E-01
223	6.5224	-1.819	0.1432E-01	-0.8576	-1.306
224	6.5224	1.403	0.1432E-01	0.7160	1.090
225	6.5224	-0.2403	0.1432E-01	-0.1764	-0.2708
226	6.5224	0.2276	0.1432E-01	0.5046E-01	0.7744E-01
227	6.5224	0.8848	0.1432E-01	0.3806	0.5794
228	6.5224	-0.1800	0.1432E-01	-0.2499	-0.3805
229	6.5224	2.380	0.1432E-01	1.155	1.759
230	6.5224	-2.190	0.1432E-01	-0.9557	-1.455
231	6.5224	-2.241	0.1432E-01	-0.7449	-1.134
232	6.5224	-2.086	0.1432E-01	-0.7314	-1.114
233	6.5224	-1.016	0.1432E-01	-0.2411	-0.3671
234	6.5224	-1.688	0.1432E-01	-0.6694	-1.019
235	6.5224	-0.1534	0.1432E-01	0.4540E-01	0.6911E-01
236	6.5224	-0.4341	0.1432E-01	-0.1121	-0.1707
