Record	Yhat	Residual	Hat	RinvRes	AOMstat
778	4.0771	-1.677	0.8864E-01	-0.7495	-1.744
779	4.2024	1.081	0.8852E-01	0.5623	1.308
780	4.0785	0.3215	0.8863E-01	0.1074	0.2499
781	4.1743	0.9424	0.8859E-01	0.4014	0.9341
782	4.2720	0.4780	0.8915E-01	0.1900	0.4420
783	4.1837	-0.6670	0.8864E-01	-0.1902	-0.4426
784	4.1507	-1.701	0.8865E-01	-0.6992	-1.627
785	4.2537	0.4796	0.4131E-01	0.2000	0.4654
786	4.1934	2.030	0.8861E-01	0.8920	2.076
787	4.0416	-0.9082	0.8863E-01	-0.4282	-0.9963
788	3.9238	-1.690	0.8923E-01	-0.6593	-1.534
789	4.2682	-0.3848	0.8859E-01	-0.1258	-0.2927
790	4.0035	-0.5202	0.8852E-01	-0.2327	-0.5415
791	3.9171	-1.200	0.8869E-01	-0.5164	-1.201
792	3.9482	-0.3649	0.8856E-01	-0.1090	-0.2544
793	4.3943	-0.5443	0.8108E-01	-0.2478	-0.5786
794	4.0256	-0.2590	0.8861E-01	0.1238E-01	0.2883E-01
795	4.0283	-2.578	0.8866E-01	-1.168	-2.720
796	4.1969	3.093	0.8855E-01	1.441	3.355
797	4.1536	-0.4369	0.8858E-01	-0.2892	-0.6734
798	4.0110	-0.8277	0.8856E-01	-0.3198	-0.7446
799	4.2598	-1.026	0.3852E-01	-0.5318	-1.238
800	4.3154	4.133	0.8855E-01	1.796	4.182
801	4.1886	-0.2219	0.8864E-01	-0.2847	-0.6630
802	4.3008	0.9658	0.8851E-01	0.4796	1.117
803	4.0986	-1.615	0.8857E-01	-0.7552	-1.759
804	4.1660	-0.6493	0.8908E-01	-0.1715	-0.3994
805	4.0697	-0.7197	0.8855E-01	-0.2666	-0.6208
806	4.1628	0.3038	0.8867E-01	0.2454	0.5713
807	4.1082	-2.091	0.8868E-01	-0.8529	-1.986
808	3.9476	-1.931	0.8854E-01	-0.7455	-1.736
809	4.2598	0.3569	0.3852E-01	0.2861	0.6663
810	3.9506	-1.267	0.8869E-01	-0.5186	-1.208
811	4.1538	-1.854	0.8858E-01	-0.7166	-1.669
